review_id,place_id,place_name,wilayah,kategori,rating,review_text,review_date,reviewer_name,reviewer_id,is_local_guide,likes_count,original_language,scraped_at
Ci9DQUlRQUNvZENodHljRjlvT214cVZEZGtNMXBMYVRGR2NEZEhMVFpQVkU5SVdYYxAB,ChIJz3CrDwAvby4RBDcKXLyk_Q0,Warung Panuju (Es Serut Buah & Bakso Tasik & Mie kangkung),Majalengka,Kuliner,5,Hari ini 3 Mei 2026 menjadi pengalaman berkesan di tempat ini. Terima kasih,2026-05-03T11:20:04.250Z,Irvan Mujianto,117864668594594238958,True,0,id,2026-05-04T16:20:02.056932
Ci9DQUlRQUNvZENodHljRjlvT2pKT1ZrWlZiMDFVTmtGVGEwRjFkamgxUVV0M1RsRRAB,ChIJz3CrDwAvby4RBDcKXLyk_Q0,Warung Panuju (Es Serut Buah & Bakso Tasik & Mie kangkung),Majalengka,Kuliner,5,"Kalau sudah bulan Ramadhan, artinya akan bertemu dengan HARI RAYA IDUL FITRI, kalau yang namanya hari raya idul fitri, identik dengan MUDIK atau pulang kampung, alhamdulillah kita mudik ke sumedang tanggal 3 april 2026, dari BOGOR KE SUMEDANG, sebelum nya sudah searching nih mau kemana kalau sudah di sana, nemu dong di TIKTOK tempat makan mie ayam tapi pakai kangkung, gas keun lah ke esok kan nya tgl 4 april 2026 ke WARUNG PANUJU di majalengka, alhamdulillah cuaca mendukung untuk keluar, sangat panas, pergilah kita kesana, lokasi mudah ko ga ribet, masuk jalur mobil dan motor, karena memang depan jalan raya, warung yg menyediakan mie ayam di campur kangkung enak rasanya, es serut buah ice cream juga enak, es jeruk nya manis, soto daging ok juga, untuk yang ga suka pakai kangkung ada juga ko mie ayam aja, pelayanan sangat ramah , suasana adem, ada mushola, tempat yang jadul yang buat kita betah juga seakan ga mau pulang, karena barang barang vintage ,pompa air juga ternyata keluar air nya loh dikira hanya pajangan aja hehe, nyata ini tuh hidden gem di majalengka, untuk harga bisa lihat di gambar, murah meriah, ga bikin kantong jebol, mau banyakan bisa kalau makan disini, masuk list si ini mah kalau pulang kampung pasti mampir ke sini ,bakal jadi langganan, tunggu kita kembali yah 'WARUNG PANUJU' 😍",2026-04-13T06:45:25.839Z,Alif Chudriyati,109011888582845109916,True,0,id,2026-05-04T16:20:02.057067
Ci9DQUlRQUNvZENodHljRjlvT2tsR2VEUkhiMVp2ZUdKblpWRlVRMU5RVkRWeWRYYxAB,ChIJz3CrDwAvby4RBDcKXLyk_Q0,Warung Panuju (Es Serut Buah & Bakso Tasik & Mie kangkung),Majalengka,Kuliner,5,"Makanan enakk karyawannya ramah-ramah, suasananya juga nyamann buat nongkrong pas kesanaa sepi jadi enakeun",2026-04-07T06:40:43.767Z,WIDI ASTUTI,107901601449810222665,False,0,id,2026-05-04T16:20:02.057119
Ci9DQUlRQUNvZENodHljRjlvT21kYU5qWmhTMmN0TVY5VWNEVlljVlp0V1VKb1dXYxAB,ChIJz3CrDwAvby4RBDcKXLyk_Q0,Warung Panuju (Es Serut Buah & Bakso Tasik & Mie kangkung),Majalengka,Kuliner,5,"Tempatnya nuasa klasik/jadul tahun 19an gitu, saat datang kesini masih sepi karena baru baru, parkiran lumayan mudah (pinggir jalan).
Untuk makanannya enak semua, terutama roti es krim porsinya lumayan banyak dan untuk harganya di sini tidak terlalu mahal.
Pelayanannya ramah, saat itu langsung bayar dan pilih menu di kasir, makanannya juga cepet datangnya.
Tempat ini juga cocok untuk foto-foto karena temanya seperti rumah dan warung jaman doeloe, di sini juga pemandangannya bagus.",2026-04-03T16:33:08.697Z,Husni Bintang Mubarraq,111950972323522278768,True,0,id,2026-05-04T16:20:02.057129
Ci9DQUlRQUNvZENodHljRjlvT2xCT1JFTkxOMU00ZFhGMGRXb3plR0Z2TVdsQmNGRRAB,ChIJz3CrDwAvby4RBDcKXLyk_Q0,Warung Panuju (Es Serut Buah & Bakso Tasik & Mie kangkung),Majalengka,Kuliner,5,"kesini karna lagi nyari tempat nongkrong kalo pulkam, dan tempatnya enakeun (sengaja suka sorean biar sepi hehe) terus es serut nya top pisannn. pasti bakal kesini si kalo pulkam",2026-03-27T02:24:59.383Z,come true,115960170110746578067,False,0,id,2026-05-04T16:20:02.057140
Ci9DQUlRQUNvZENodHljRjlvT2xOVlQwMTBRMVp5Vms5UFRrdERkMkprUmxscFlVRRAB,ChIJz3CrDwAvby4RBDcKXLyk_Q0,Warung Panuju (Es Serut Buah & Bakso Tasik & Mie kangkung),Majalengka,Kuliner,4,Masakannya cukup enak bumbunya berasa cuman kurang komplit menunya,2026-03-12T10:12:04.162Z,Muhammad Amin,100026833380798002826,True,0,id,2026-05-04T16:20:02.057159
Ci9DQUlRQUNvZENodHljRjlvT25KSFMydHZTR3R2ZVVkb2JrRlFXRlptUkRNek9HYxAB,ChIJz3CrDwAvby4RBDcKXLyk_Q0,Warung Panuju (Es Serut Buah & Bakso Tasik & Mie kangkung),Majalengka,Kuliner,5,"Tempatnya lucu, makanan sama minumannya enak enak, pelayanannya superrrr bgt ramah sekaliii :)",2026-02-06T13:32:59.394Z,Rika Nur Utami,113062312224028988940,False,0,id,2026-05-04T16:20:02.057176
ChZDSUhNMG9nS0VJQ0FnSUNfNzg2aWF3EAE,ChIJz3CrDwAvby4RBDcKXLyk_Q0,Warung Panuju (Es Serut Buah & Bakso Tasik & Mie kangkung),Majalengka,Kuliner,4,"Rekomendasi nih Suasana nya Serassa kembali ke masa lalu, suasana nyaman cukup sejuk di dekat kota Majalengka yang terbilang cukup panas, view luar nya sawah dan bukit paralayang enaknya bawa motor biar ga susah parkir.",2026-01-26T12:36:16.570Z,moch iik toriq,115157985036984141497,True,0,id,2026-05-04T16:20:02.057196
Ci9DQUlRQUNvZENodHljRjlvT2pkSk4yRmtkMjE2WVRGbU5GWm1RVmw1WnpsNFpVRRAB,ChIJz3CrDwAvby4RBDcKXLyk_Q0,Warung Panuju (Es Serut Buah & Bakso Tasik & Mie kangkung),Majalengka,Kuliner,5,"Suasana rumah jadul dengan barang-barang vintage yang adem, angin semilir ditambah habis hujan. Harga Makanannya sesuai di kantong tapi rasanya melebihi kantong.",2026-01-18T09:01:17.683Z,Allmas Toba,110977272778729098470,True,0,id,2026-05-04T16:20:02.057205
Ci9DQUlRQUNvZENodHljRjlvT2tSV1VYRm9ZMmxOYWxjeFRqTkNWVzVSWVUxNWRIYxAB,ChIJz3CrDwAvby4RBDcKXLyk_Q0,Warung Panuju (Es Serut Buah & Bakso Tasik & Mie kangkung),Majalengka,Kuliner,5,"Tempatnya nyaman, vibes jadul jadul gitu
Mie kangkungnya enak recommended, es campurnya juga enak",2025-12-16T06:11:35.237Z,Afifah nafisah,116751861868637501414,True,0,id,2026-05-04T16:20:02.057214
