review_id,place_id,place_name,wilayah,kategori,rating,review_text,review_date,reviewer_name,reviewer_id,is_local_guide,likes_count,original_language,scraped_at
ChZDSUhNMG9nS0VJQ0FnSUNYdVl5Z1pnEAE,ChIJHWSiwvIXby4Rhuw8ceM0Wk0,Balong Girang Cigugur,Kuningan,Wisata,4,"Objek wisata ini sejujurnya sangat bagus. Hanya saja agak kurang terawat
Lokasi sangat strategis di tepi jln besar penghubung antar kabupaten
Kedepan nya mungkin hrs berinisiatif dan berinovasi supaya tmpt wisata ini diminati wisatawan.
Area parkir nya hrs lbh memadai lg",2024-10-18T11:05:43.266Z,Tepung Gaplek (Pung),112688443903439756692,True,0,id,2026-05-04T16:53:27.446437
ChZDSUhNMG9nS0VJQ0FnSURuNVpmdE5BEAE,ChIJHWSiwvIXby4Rhuw8ceM0Wk0,Balong Girang Cigugur,Kuningan,Wisata,5,tempatnya adem nyaman cocok buatt piknik bersama keluarga,2024-10-08T03:36:33.116Z,Anggita Putri,118336373916339307463,False,0,id,2026-05-04T16:53:27.446474
ChdDSUhNMG9nS0VJQ0FnSUNibk02UmdRRRAB,ChIJHWSiwvIXby4Rhuw8ceM0Wk0,Balong Girang Cigugur,Kuningan,Wisata,5,It's my favorite place to go! It's really nostalgic to me,2024-07-24T12:16:02.409Z,naomii,106404520571111456799,False,0,en,2026-05-04T16:53:27.446491
ChZDSUhNMG9nS0VJQ0FnSUNMdzZ6YlN3EAE,ChIJHWSiwvIXby4Rhuw8ceM0Wk0,Balong Girang Cigugur,Kuningan,Wisata,4,"Adem bingit,,, 🥶",2024-06-22T16:07:08.665Z,Hendra Artwork,113646876329832323899,False,0,id,2026-05-04T16:53:27.446632
ChZDSUhNMG9nS0VJQ0FnSUNwbzlXSVFnEAE,ChIJHWSiwvIXby4Rhuw8ceM0Wk0,Balong Girang Cigugur,Kuningan,Wisata,4,"Kuningan memang terkenal dengan wisata terapi ikan, termasuk di balong girang Cigugur ini. Kita dateng kesini sekitar jam setengah 12an dan kaget ternyata suasana di dalamnya teduh dan air kolamnya dingin. Dengan biaya masuk 20 ribu per orang, layak untuk dikunjungi.

Selain suasananya adem, kebersihan terjaga, kelebihan lainnya disini suasananya ga terlalu penuh, jadi kalo bawa keluarga nyaman. Tapi kalo bawa anak kecil, harus ekstra perhatian karena tepi kolam juga cukup dalam.

Cuman minusnya pas kunjungan kemarin, ps mau shalat di musholla ga ada air bersih. Tolong diperhatikan kembali.",2023-08-09T14:19:26.593Z,Rheyna,116478489681657181565,True,1,id,2026-05-04T16:53:27.446725
Ci9DQUlRQUNvZENodHljRjlvT2s0emJITmZNbTEzVlY5V1pVVnljR1kxVEd4Tk1uYxAB,ChIJ3dUcvDUWby4RhGCuYaOMDbQ,Wisata Alam Lembah Cilengkrang,Kuningan,Wisata,5,Jalan kaki kurang lebih 1jam dari parkiran dengan kondisi nyantai dan ada bocil. Track masih ke bilang aman buat pemula.,2026-05-01T23:22:01.645Z,Citra D Gitalestari,108399985178992611300,True,0,id,2026-05-04T16:53:27.446782
Ci9DQUlRQUNvZENodHljRjlvT214RGNTMXRibkp3YWxKUExWTTBkR1YxZW5sa2VrRRAB,ChIJ3dUcvDUWby4RhGCuYaOMDbQ,Wisata Alam Lembah Cilengkrang,Kuningan,Wisata,5,"Sejuk dan bersih siiii, cuman kalo disuruh naik kesana lagi mungkin mikir"" lagi deh soalnya dari parkiran ke Curug 2.4km tapi kalo suka explore alam boleh tuh dicobaaa seru kok🤩🤩",2026-03-21T12:56:49.942Z,Fredy sihite,106349564609675810813,True,0,id,2026-05-04T16:53:27.446812
Ci9DQUlRQUNvZENodHljRjlvT2sxT2VXRlBlWGRVWmtzemEyVnlUSEZ3V1hwQ1owRRAB,ChIJ3dUcvDUWby4RhGCuYaOMDbQ,Wisata Alam Lembah Cilengkrang,Kuningan,Wisata,5,"Tempat wisata alam yang masih liar, sepi tapi menantang. Ada beberapa curug di dalamnya seperti curug sabuk dan curug sawer. Baiknya pada musim hujan karena air terjunnya masih deras.",2026-03-04T07:37:53.453Z,Hadi Arnowo,118133469438988445029,True,0,id,2026-05-04T16:53:27.446825
Ci9DQUlRQUNvZENodHljRjlvT204dFUyVXhUbWR3TWxjNFpEQmlUekZ2Tkdkd09IYxAB,ChIJ3dUcvDUWby4RhGCuYaOMDbQ,Wisata Alam Lembah Cilengkrang,Kuningan,Wisata,5,"Hiking ceria di Kaki Gunung Ciremai, suasana yang menenangkan, sepanjang jalan disuguhin pemandangan hijau2 yang menyegarkan dan suara air yang mengalir.
Rekomen banget buat para pemula, paling seru ketika turun kabut dan hujan aah menambah suasana tambah syahdu",2026-01-20T13:11:08.032Z,Nchie Hanie,108525455959360756291,True,0,id,2026-05-04T16:53:27.446943
Ci9DQUlRQUNvZENodHljRjlvT2xVM1MycERiblpqZFhKeFIyOUlSV1YxTVVOQ2VsRRAB,ChIJ3dUcvDUWby4RhGCuYaOMDbQ,Wisata Alam Lembah Cilengkrang,Kuningan,Wisata,4,Kesini tahun 2024,2026-01-20T10:02:46.042Z,Anis Fatin,116667416937334545061,True,0,id,2026-05-04T16:53:27.446964
Ci9DQUlRQUNvZENodHljRjlvT2w5VFR6bFBibXhGTVMxNVgwaHhTek5IYkZGMFJtYxAB,ChIJ3dUcvDUWby4RhGCuYaOMDbQ,Wisata Alam Lembah Cilengkrang,Kuningan,Wisata,5,"Seger bgt udara nya🍃healing terbaik melihat keindahan Alam yg masyaAllah bgt,sepanjang jalan adem sejuk bgt dengerin suara air terjun✨",2026-01-18T04:05:34.598Z,Vina pandu,106102623562876099976,False,0,id,2026-05-04T16:53:27.447011
