review_id,place_id,place_name,wilayah,kategori,rating,review_text,review_date,reviewer_name,reviewer_id,is_local_guide,likes_count,original_language,scraped_at
ChdDSUhNMG9nS0VJQ0FnSURfX1p6UnZ3RRAB,ChIJCXXnCUUvby4ROEsIACixpqI,Ramen Cemen Majalengka,Majalengka,Nongkrong,5,Ramen & Chicken katsu enak,2025-01-26T13:24:43.492Z,iman sanjaya,113238761780378416208,True,0,ja,2026-05-04T16:21:53.201520
ChdDSUhNMG9nS0VJQ0FnSURYOThmTTdnRRAB,ChIJCXXnCUUvby4ROEsIACixpqI,Ramen Cemen Majalengka,Majalengka,Nongkrong,5,Enak buat nyantuyy,2024-11-01T02:37:14.755Z,Rizki Fadilah Nugraha,115206360314976598813,True,0,id,2026-05-04T16:21:53.201542
ChZDSUhNMG9nS0VJQ0FnSUM1dnJiLUNBEAE,ChIJCXXnCUUvby4ROEsIACixpqI,Ramen Cemen Majalengka,Majalengka,Nongkrong,5,Okelah buat ukuran kita,2023-10-13T22:02:07.732Z,AR_ official,111502308107649389324,True,0,id,2026-05-04T16:21:53.201584
ChZDSUhNMG9nS0VJQ0FnSUNaNm9MU0pREAE,ChIJCXXnCUUvby4ROEsIACixpqI,Ramen Cemen Majalengka,Majalengka,Nongkrong,3,"Pesan ramen cemen kare , nunggu 1 jam an lebih tapi liat orang yang baru datang sampe pulang lagi udah beres ga ngerti lagi",2023-09-08T13:20:51.746Z,Reta Pahmi,112412444865563083747,False,0,id,2026-05-04T16:21:53.201596
ChdDSUhNMG9nS0VJQ0FnSUNJeXVPc2h3RRAB,ChIJCXXnCUUvby4ROEsIACixpqI,Ramen Cemen Majalengka,Majalengka,Nongkrong,5,"Ramen ter enak se-Majalengka. Apalagi udon nya pake kuah kare 😍😁😁 so, pokonya ramen cemen recommended bgt buat dikunjungi sama pacar, teman, keluarga. Harganya juga terjangkau 😄",2022-10-18T11:37:35.436Z,Ai Kurnia,116151007459288465452,False,1,id,2026-05-04T16:21:53.201634
ChdDSUhNMG9nS0VJQ0FnSUN1bzRqUGxnRRAB,ChIJCXXnCUUvby4ROEsIACixpqI,Ramen Cemen Majalengka,Majalengka,Nongkrong,4,"Tempat nongki bareng doi dulu hahah.
Enak rekomended",2022-08-05T00:46:05.019Z,Siska_Yolanda,106995068659053359996,True,0,id,2026-05-04T16:21:53.201646
ChdDSUhNMG9nS0VJQ0FnSUQycUluM21BRRAB,ChIJCXXnCUUvby4ROEsIACixpqI,Ramen Cemen Majalengka,Majalengka,Nongkrong,1,"Sebelum ke tempat eksekusi,sy baca ulasan dulu😁😁😁",2022-05-05T05:47:29.464Z,Aryo Plus,104785362752159840677,True,0,id,2026-05-04T16:21:53.201682
ChZDSUhNMG9nS0VJQ0FnSURVdks3ell3EAE,ChIJCXXnCUUvby4ROEsIACixpqI,Ramen Cemen Majalengka,Majalengka,Nongkrong,5,"Enak. , fav , tp pelayanannya lama banget , nunggu 1 jam makan 10 menit hikz",2022-05-03T11:09:51.628Z,Popy Hopipah,107872197411564481068,True,0,id,2026-05-04T16:21:53.201694
ChdDSUhNMG9nS0VJQ0FnSURtMk9iMXN3RRAB,ChIJCXXnCUUvby4ROEsIACixpqI,Ramen Cemen Majalengka,Majalengka,Nongkrong,4,"@ Menu yg di rekomendasi adalah Ramen cemen harga 20 ribu sd 25 ribu, tergantung toping
@ Ramen cemen yg rasa kari...enak banget kuah nya, mie nya ukuran gede, beda dengan ramen tempat lain, klo saya suka yg mie kecil lebih enak
@ lokasi nya persis di perempatan jl.KH.Abdul Halim no 190 ,Pasar Balong, Majalengka
@ Posisi parkir di pinggir jalan, jadi harus hati2 cari lokasi yg aman",2022-01-18T05:43:55.223Z,Agus Saptono,108400385428400165921,True,0,id,2026-05-04T16:21:53.201722
ChdDSUhNMG9nS0VJQ0FnSUNtOUpEeG93RRAB,ChIJCXXnCUUvby4ROEsIACixpqI,Ramen Cemen Majalengka,Majalengka,Nongkrong,4,"Good ramen, but just little bit pricey",2021-12-20T04:21:44.575Z,Gemilang Rahmandhika,115508356175389446119,True,0,en,2026-05-04T16:21:53.201733
